
Group,Class,Sub-Class,Description,
,DIVISION 28 : Manufacture of machinery and equipment n.e.c.,,,
281,,,Manufacture of general-purpose machinery,
,2811,,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines ",
,,,"This class excludes: 
- manufacture of electric generators (except turbine generator sets), see 271 
- manufacture of prime mover generator sets (except turbine generator sets), see 2710 
- manufacture of parts of motor vehicles combustion engines, see 2910 
- manufacture of electrical equipment and components of internal combustion piston engines for motor vehicles, see 293 
- manufacture of pistons, piston rings, carburetors and such for internal combustion engines, diesel engines for motor vehicles, see 293 
- manufacture of internal combustion piston engines propulsion engines for aircraft, see 3030, 
- manufacture of motorcycle propulsion engines, see 3091 
- manufacture of aircraft engines, turbojets and turbo propellers, see 3030",
,,281101,Manufacture of propulsion engines for water transport including factory overhaul,
,,281102,Manufacture of propulsion engines for Railway transport,
,,281103,"Manufacture of parts and components for internal combustion engines, except for motor vehicle engines, such as pistons, piston rings, valves, carburettors, filters, inlet, exhaust valves and similar components",
,,281104,"Manufacture of steam turbines, gas turbines and other vapor turbines and turbine-generator sets",
,,281105,Manufacture of wind turbines and integrated wind turbine-generator systems,
,,281106,"Manufacture of hydraulic turbines, water wheels, and turbine-generator sets for hydroelectric power",
,,281107,"Manufacture of internal combustion engines for machinery and equipment (excluding those used for transport application such as for propulsion in motor vehicles, Motorcycle, marine, railway, aircraft).",
,,281199,"Manufacture of other engines and turbines, except aircraft, vehicle and cycle engines n.e.c.",
,2812,,Manufacture of fluid power equipment ,
,,,"This class excludes: 
- manufacture of hydraulic or pneumatic tubes, pipes and hoses of rubber, see 2211 
- manufacture of hydraulic or pneumatic tubes, pipes and hoses of plastic, see 2220 
- manufacture of compressors, see 2813 
- manufacture of pumps other than hydraulic fluid power pumps, see 2813 
- manufacture of valves for non-fluid power applications, see 2813 
- manufacture of mechanical, i.e. hydrostatic and hydrodynamic, transmission equipment, see 2814",
,,281201,"Manufacture of hydraulic power engines and motors, cylinders, valves , hydraulic fluid power systems and hydraulic transmission equipment",
,,281202,"Manufacture of pneumatic power engines and motors, cylinders, and valves",
,,281203,Manufacture of air preparation equipment for use in pneumatic systems,
,,281204,Manufacture of Actuators,
,,281299,Manufacture of other fluid power equipment n.e.c. such as gas spring cylinders,
,2813,,"Manufacture of other pumps, compressors, taps and valves",
,,,"This class excludes: 
- manufacture of valves of unhardened vulcanized rubber, glass or of ceramic materials, see 2219, 2310 or 2393 
- manufacture of hydraulic transmission equipment, see 2812 
- manufacture of inlet and exhaust valves of internal combustion engines, see 2811",
,,281301,"Manufacture of air or vacuum pumps, air or other gas compressors (including cryogenic pumps) and parts thereof",
,,281302,"Manufacture of pumps for liquids, whether or not fitted with a measuring device (including hand pumps) and parts thereof",
,,281303,"Manufacture of pumps designed for fitting to internal combustion engines (including oil, water, and fuel pumps for motor vehicles and similar articles) and parts thereof",
,,281304,"Manufacture of industrial and heating taps and valves, (including regulating valves and intake taps) and parts thereof",
,,281399,"Manufacture of other pumps, compressors, taps and valves other than for industrial and heating purposes and parts thereof n.e.c.",
,2814,,"Manufacture of bearings, gears, gearing and driving elements",
,,,"This class excludes: 
- manufacture of other chain, see 2599 
- manufacture of hydraulic transmission equipment, see 2812 
- manufacture of hydrostatic transmissions, see 2812 
- manufacture of clutches for motor vehicles, see 2930 
- manufacture of gears, gear boxes and part thereof for motor vehicles, see 2930 
- manufacture of sub-assemblies of power transmission equipment which are suitable for use solely or principally with motor identifiable as parts of vehicles or aircraft, see divisions 29 and 30",
,,281401,Manufacture of Bearings and Bearing Component,
,,281402,"Manufacture of Gears, Gearboxes, and Speed Changers",
,,281403,"Manufacture of mechanical power transmission equipment such as transmission shafts, couplings, clutches, and related components",
,,281404,"Manufacture of power transmission chains, articulated linkchains and other types of chains",
,,281499,"Manufacture of other bearings, gears, gearing and driving elements n.e.c.. such as flywheels and pulleys",
,2815,,"Manufacture of ovens, furnaces and permanent household heating equipment",
,,,"This class excludes: 
- manufacture of electric ovens for domestic use, see 2750 
- manufacture of table, floor, wall, window, ceiling or roof fans, see 2750 
- manufacture of dryers for agricultural products, see 2825 
- manufacture of bakery and biscuits ovens, see 2825 
- manufacture of dryers for wood, paper pulp, paper or paperboard, see 2829 
- manufacture of medical, surgical or laboratory sterilisers, see 3250 
- manufacture of (dental) laboratory furnaces, see 3250",
,,281501,"Manufacture of Industrial and Laboratory Furnaces, furnace burners and Incinerators",
,,281502,"Manufacture of central heating boilers, solar water heaters, and similar equipment",
,,281599,"Manufacture of other ovens, furnaces and permanent household heating equipment n.e.c..",
,2816,,Manufacture of lifting and handling equipment ,
,,,"This class excludes: 
- manufacture of machinery for vertical farming, see 2821 
- manufacture of industrial robots for multiple uses, see 2829 
- manufacture of continuous-action elevators and conveyors for goods and material for underground use, see 2824 
- manufacture of mechanical shovels, excavators and shovel loaders, see 2824 
- manufacture of crane lorries, floating cranes, railway cranes, crane-lorries, see 2910, 3011, 3020 
- installation of lifts and elevators, see 4329",
,,281601,Manufacture of lifts,
,,281602,"Manufacture of manual, semi-automatic and automatic lifting, pulling and conveying equipment and systems, including people movers, such as pulley tackle, hoists, winches, capstans, jacks, conveyors, cable cars, escalators, moving walkways, and similar equipment",
,,281603,Manufacture of Automated (Unmanned) and Robotic Lifting and Handling Equipment including automated car parking systems,
,,281604,"Manufacture of  cranes, handtrucks, wheelbarrows, derricks, straddle carriers and similar lifting, handling and transport equipments",
,,281605,Manufacture of Parts and Components for Lifting/Handling Equipment,
,,281699,Manufacture of other lifting and handling equipment n.e.c.,
,2817,,Manufacture of office machinery and equipment (except computers and peripheral equipment),
,,,"This class excludes: 
- manufacture of computers and peripheral equipment, see 2620",
,,281700,"Manufacture of office machinery and equipment such as photocopy machines, toner cartriges, stapling machines, hole punchers, white/ black/ marker boards, voting machines and similar equipment",
,2818,,Manufacture of power-driven hand tools,
